match,league,correct_time,wrong_bookies,all_times
Akritas Chlorakas vs Aris Limassol,CL,16:00,"[{'bookie': 'Betika', 'their_time': '14:00', 'gap_minutes': 120.0}]","{'Xscores': '16:00', 'Betika': '14:00'}",Betika: 120min
Karvina vs Slavia Prague,1L,16:00,"[{'bookie': 'Betika', 'their_time': '14:00', 'gap_minutes': 120.0}]","{'Xscores': '16:00', 'Betika': '14:00'}",Betika: 120min
Como vs Fiorentina,SA,16:00,"[{'bookie': 'Betika', 'their_time': '14:00', 'gap_minutes': 120.0}, {'bookie': 'SportPesa', 'their_time': '17:00', 'gap_minutes': 60.0}]","{'Xscores': '16:00', 'Betika': '14:00', 'SportPesa': '17:00'}","Betika: 120min
SportPesa: 60min"
Bayer Leverkusen vs St. Pauli,B,16:30,"[{'bookie': 'SportPesa', 'their_time': '17:30', 'gap_minutes': 60.0}]","{'Xscores': '16:30', 'SportPesa': '17:30'}",SportPesa: 60min
Eintracht Frankfurt vs Borussia Moenchengladbach,B,16:30,"[{'bookie': 'SportPesa', 'their_time': '17:30', 'gap_minutes': 60.0}]","{'Xscores': '16:30', 'SportPesa': '17:30'}",SportPesa: 60min
Hoffenheim vs Freiburg,B,16:30,"[{'bookie': 'SportPesa', 'their_time': '17:30', 'gap_minutes': 60.0}]","{'Xscores': '16:30', 'SportPesa': '17:30'}",SportPesa: 60min
Werder Bremen vs Bayern Munich,B,16:30,"[{'bookie': 'Betika', 'their_time': '14:30', 'gap_minutes': 120.0}]","{'Xscores': '16:30', 'Betika': '14:30'}",Betika: 120min
Glenavon vs Linfield,P,17:00,"[{'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 120.0}]","{'Xscores': '17:00', 'Betika': '15:00'}",Betika: 120min
Glentoran vs Ballymena United,P,17:00,"[{'bookie': 'Betika', 'their_time': '15:00', 'gap_minutes': 120.0}]","{'Xscores': '17:00', 'Betika': '15:00'}",Betika: 120min
Marseille vs Strasbourg,L1,18:00,"[{'bookie': 'SportPesa', 'their_time': '19:00', 'gap_minutes': 60.0}]","{'Xscores': '18:00', 'SportPesa': '19:00'}",SportPesa: 60min
Zamalek SC vs Kaizer Chiefs,CCC,18:00,"[{'bookie': 'SportPesa', 'their_time': '19:00', 'gap_minutes': 60.0}]","{'Xscores': '18:00', 'SportPesa': '19:00'}",SportPesa: 60min
Simba SC vs Stade Malien,CCL,18:00,"[{'bookie': 'SportPesa', 'their_time': '19:00', 'gap_minutes': 60.0}]","{'Xscores': '18:00', 'SportPesa': '19:00'}",SportPesa: 60min
Lazio vs Atalanta,SA,19:00,"[{'bookie': 'Betika', 'their_time': '17:00', 'gap_minutes': 120.0}, {'bookie': 'SportPesa', 'their_time': '20:00', 'gap_minutes': 60.0}]","{'Xscores': '19:00', 'Betika': '17:00', 'SportPesa': '20:00'}","Betika: 120min
SportPesa: 60min"
VfB Stuttgart vs FC Koln,B,19:30,"[{'bookie': 'SportPesa', 'their_time': '20:30', 'gap_minutes': 60.0}]","{'Xscores': '19:30', 'SportPesa': '20:30'}",SportPesa: 60min
Aston Villa vs Newcastle,FAC,19:45,"[{'bookie': 'Betika', 'their_time': '17:45', 'gap_minutes': 120.0}, {'bookie': 'SportPesa', 'their_time': '20:45', 'gap_minutes': 60.0}]","{'Xscores': '19:45', 'Betika': '17:45', 'SportPesa': '20:45'}","Betika: 120min
SportPesa: 60min"
Lille vs Brest,L1,20:00,"[{'bookie': 'SportPesa', 'their_time': '21:00', 'gap_minutes': 60.0}]","{'Xscores': '20:00', 'SportPesa': '21:00'}",SportPesa: 60min
Pyramids FC vs Power Dynamos,CCL,21:00,"[{'bookie': 'SportPesa', 'their_time': '22:00', 'gap_minutes': 60.0}]","{'Xscores': '21:00', 'SportPesa': '22:00'}",SportPesa: 60min
BSC Young Boys vs FC Winterthur,SL,21:30,"[{'bookie': 'SportPesa', 'their_time': '22:30', 'gap_minutes': 60.0}]","{'Xscores': '21:30', 'SportPesa': '22:30'}",SportPesa: 60min
Inter vs Juventus,SA,21:45,"[{'bookie': 'SportPesa', 'their_time': '22:45', 'gap_minutes': 60.0}]","{'Xscores': '21:45', 'SportPesa': '22:45'}",SportPesa: 60min
Real Madrid vs Real Sociedad,L,22:00,"[{'bookie': 'Betika', 'their_time': '20:00', 'gap_minutes': 120.0}]","{'Xscores': '22:00', 'Betika': '20:00'}",Betika: 120min
